,breed,probability
27,ENGLISH SPRINGER SPANIEL ,1.870222270797336e-218
0,"PORTUGUESE WARREN DOG, SMALL SIZE, WEIRED HAIR ",2.2341743400499289e-218
3,PORTUGUESE SHEEPDOG ,2.668952808271928e-218
18,"PORTUGUESE WARREN DOG, MEDIUM SIZE, WEIRED HAIR ",3.1883407508045343e-218
25,PORTUGUESE POINTING DOG ,3.4847902872427607e-218
10,PORTUGUESE POINTING DOG-LONG HAIR ,3.4847902872427607e-218
21,PORTUGUESE WATER DOG ,3.4847902872427607e-218
13,IRISH SOFT COATED WHEATEN TERRIER ,3.4847902872427607e-218
7,CANIS PANTHER ,3.808803479677158e-218
36,BRAZILIAN TERRIER ,3.808803479677158e-218
37,ROTTWEILER CROSS ,4.162943176210435e-218
6,ENGLISH POINTER ,4.162943176210435e-218
12,BLACK RETRIEVER ,4.162943176210435e-218
26,GERMAN SHEPHERD ,4.55001051664287e-218
24,GREAT DANE CROSS ,4.55001051664287e-218
16,STAFFORDSHIRE BULL TERRIER ,4.55001051664287e-218
20,BOXER ,4.55001051664287e-218
19,INDIAN LOCAL ,5.435459144065457e-218
35,MIXED BREED ,5.435459144065457e-218
9,PIT BULL ,5.435459144065457e-218
34,COCKER SPANIEL ,5.435459144065457e-218
1,CASTRO LABOREIRO WATCHDOG ,1.0127905932736438e-217
11,MINIATURE SCHNAUZER ,1.0127905932736438e-217
30,MASTIFF ,1.0127905932736438e-217
2,SLOUGHI ,1.209883333477313e-217
22,"PORTUGUESE WARREN DOG, SMALL SIZE, SMOOTH HAIR ",1.209883333477313e-217
15,DACHSHUND ,1.209883333477313e-217
29,SHAR PEI ,1.32237738018897e-217
32,HUSKY ,1.32237738018897e-217
33,AZORES CATTLE DOG ,1.445331039158607e-217
31,ESTRELA MOUNTAIN DOG ,1.726597726370244e-217
5,TERRIER CROSS ,2.254378934008275e-217
14,GERMAN SHEPHERD CROSS ,3.843248118304729e-217
17,CAMP DOG ,4.200590451554722e-217
4,AIDI ,4.200590451554722e-217
8,ALGARVE BARROCAL DOG ,5.018040660975146e-217
28,GAMBIAN LOCAL ,5.018040660975146e-217
23,EPAGNEULBRETON ,5.484614325473801e-217
